Individual_NPI	Provider_Name_On_Roster
1004319863	Bernice Solis
1004555516	Oscar Warner
1006749273	Priya Ramanathan
1011161365	Anna Rocha
1011873092	Megan Pratt
1014724706	Nancy Washington
1014810232	Hope Fisher
1016764775	Wendy Sandoval
1019139066	Karl Wolfe
1022361673	Michelle Jarvis
1027614001	Raymond Leach
1031862653	Curtis Townsend
1034131643	Gregory Brennan
1035573561	Mia Walters
1038206284	Isabella Hawkins
1046248575	Xavier Savage
1053137984	Brittany Devries
1058621131	Isabella Riggs
1064991957	Curtis Kirby
1066738315	James Eastman
1067717250	Sharon Oakley
1069237869	Donald Stone
1074643960	Gregory Munoz
1076581788	Kelsey Ackerman
1080596004	Dean Yardley
1081538559	Jack Gardner
1082378724	Drew Ramsey
1084075351	Kevin Peters
1089040178	Nathaniel Merritt
1092423809	Jack Rivera
1093592297	Alan Salazar
1107692422	Stephen Savage
1114215704	Nicole Salazar
1115936761	Isabella Dunham
1125357933	Kyle Macdonald
1127640476	Rosalind Fisher
1132083712	Janet Whitcombe
1134463839	Sydney Sharpe
1135810871	Grace Franklin
1146476720	Rebecca Ellis
1147864692	Mia Rios
1153912799	Melinda Whitfield
1169637810	Isaac Salazar
1172391371	Reed Holt
1177100546	Kathleen Chambers
1177809070	Nolan Chambers
1180983250	Emily Mendez
1182619613	Nicole Gatlin
1183616436	Carl Shaw
1187900612	Chad Gallagher
1196001337	Samuel Kilbride
1207187281	Emily Vance
1213940251	Rachel Templeton
1215277348	Brian Watkins
1231036124	Miles Lambert
1232089460	Nicholas Santoro
1232140362	Ashley Bramwell
1239710969	Gary Osei
1247985306	James Solis
1248498861	Dorothy Logan
1257916993	Brittany Sloan
1265826101	Brian Holbrook
1268130303	Melinda Eastman
1269516815	Ira Hensen
1274850894	Naomi Nichols
1284253030	George Schneider
1293468207	Rosalind Maddox
1300353368	Cynthia Lyons
1301498642	Susan Lang
1304635307	Ivan Payne
1311626133	Justin Thornbury
1325054769	Dorothy Ortega
1325267064	Chad Knight
1328689934	Laura Danforth
1330022199	Sandra Washington
1331396923	Regina Shaw
1335257188	Paul Sinclair
